,tenhuyen,nam,dt_sanluong,fdate,tdate,edittime,editby,maso,isvalid,ghichu,tenfile,id_nguoi_upload
1,Thị xã La Gi,0,2.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
2,Thị xã La Gi,2010,6932.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
3,Thị xã La Gi,2011,7428.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
4,Thị xã La Gi,2012,7331.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
5,Thị xã La Gi,2013,10403.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
6,Thị xã La Gi,2014,13365.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
7,Thị xã La Gi,2015,18190.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
8,Thị xã La Gi,2016,22940.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
9,Thị xã La Gi,2017,21925.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
10,Thị xã La Gi,2018,26504.3,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
11,Thị xã La Gi,2019,28748.7,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
12,Thị xã La Gi,2020,27349.2,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
13,Thị xã La Gi,2021,32034.1,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
14,Huyện Tuy Phong,0,3.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
15,Huyện Tuy Phong,2010,606.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
16,Huyện Tuy Phong,2011,924.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
17,Huyện Tuy Phong,2012,912.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
18,Huyện Tuy Phong,2013,1070.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
19,Huyện Tuy Phong,2014,1194.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
20,Huyện Tuy Phong,2015,1742.8,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
21,Huyện Tuy Phong,2016,3825.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
22,Huyện Tuy Phong,2017,3682.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
23,Huyện Tuy Phong,2018,4398.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
24,Huyện Tuy Phong,2019,4770.4,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
25,Huyện Tuy Phong,2020,8840.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
26,Huyện Tuy Phong,2021,8623.1,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
27,Huyện Bắc Bình,0,4.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
28,Huyện Bắc Bình,2010,16200.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
29,Huyện Bắc Bình,2011,15458.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
30,Huyện Bắc Bình,2012,15255.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
31,Huyện Bắc Bình,2013,25500.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
32,Huyện Bắc Bình,2014,25000.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
33,Huyện Bắc Bình,2015,28500.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
34,Huyện Bắc Bình,2016,45282.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
35,Huyện Bắc Bình,2017,49439.8,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
36,Huyện Bắc Bình,2018,56640.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
37,Huyện Bắc Bình,2019,61436.4,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
38,Huyện Bắc Bình,2020,79440.6,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
39,Huyện Bắc Bình,2021,77600.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
40,Huyện Hàm Thuận Bắc,0,5.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
41,Huyện Hàm Thuận Bắc,2010,96500.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
42,Huyện Hàm Thuận Bắc,2011,99957.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
43,Huyện Hàm Thuận Bắc,2012,98647.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
44,Huyện Hàm Thuận Bắc,2013,122718.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
45,Huyện Hàm Thuận Bắc,2014,126350.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
46,Huyện Hàm Thuận Bắc,2015,139004.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
47,Huyện Hàm Thuận Bắc,2016,178656.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
48,Huyện Hàm Thuận Bắc,2017,174525.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
49,Huyện Hàm Thuận Bắc,2018,176315.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
50,Huyện Hàm Thuận Bắc,2019,191245.8,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
51,Huyện Hàm Thuận Bắc,2020,174953.8,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
52,Huyện Hàm Thuận Bắc,2021,156159.7,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
53,Huyện Hàm Thuận Nam,0,6.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
54,Huyện Hàm Thuận Nam,2010,171230.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
55,Huyện Hàm Thuận Nam,2011,263335.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
56,Huyện Hàm Thuận Nam,2012,259884.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
57,Huyện Hàm Thuận Nam,2013,230385.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
58,Huyện Hàm Thuận Nam,2014,270500.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
59,Huyện Hàm Thuận Nam,2015,264958.5,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
60,Huyện Hàm Thuận Nam,2016,245199.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
61,Huyện Hàm Thuận Nam,2017,266104.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
62,Huyện Hàm Thuận Nam,2018,295997.5,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
63,Huyện Hàm Thuận Nam,2019,321033.3,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
64,Huyện Hàm Thuận Nam,2020,365080.3,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
65,Huyện Hàm Thuận Nam,2021,355895.6,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
66,Huyện Tánh Linh,0,7.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
67,Huyện Tánh Linh,2010,40.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
68,Huyện Tánh Linh,2011,36.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
69,Huyện Tánh Linh,2012,36.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
70,Huyện Tánh Linh,2013,209.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
71,Huyện Tánh Linh,2014,75.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
72,Huyện Tánh Linh,2015,146.3,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
73,Huyện Tánh Linh,2016,1982.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
74,Huyện Tánh Linh,2017,1530.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
75,Huyện Tánh Linh,2018,2123.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
76,Huyện Tánh Linh,2019,2302.8,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
77,Huyện Tánh Linh,2020,1776.7,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
78,Huyện Tánh Linh,2021,1733.1,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
79,Huyện Đức Linh,0,8.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
80,Huyện Đức Linh,2017,301.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
81,Huyện Đức Linh,2018,386.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
82,Huyện Đức Linh,2019,418.7,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
83,Huyện Đức Linh,2020,249.7,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
84,Huyện Hàm Tân,0,9.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
85,Huyện Hàm Tân,2010,994.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
86,Huyện Hàm Tân,2011,1496.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
87,Huyện Hàm Tân,2012,1.475,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
88,Huyện Hàm Tân,2013,3.265,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
89,Huyện Hàm Tân,2014,4.623,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
90,Huyện Hàm Tân,2015,7584.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
91,Huyện Hàm Tân,2016,11998.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
92,Huyện Hàm Tân,2017,14203.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
93,Huyện Hàm Tân,2018,20053.6,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
94,Huyện Hàm Tân,2019,21751.8,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
95,Huyện Hàm Tân,2020,30176.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
96,Huyện Hàm Tân,2021,38400.1,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
97,Huyện Phú Quý,0,10.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
98,Huyện Phú Quý,2017,0.2,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
99,Huyện Phú Quý,2018,0.5,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
100,Huyện Phú Quý,2019,0.5,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
101,Huyện Phú Quý,2020,1.1,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
102,Huyện Phú Quý,2021,10.0,2022-01-01,,2022-10-07,Tramanh,,1,,./static/upload/8dfcd6821dd5421ebb8b0c946f070d8a..xlsx,
